동영상제목,조회수,좋아요수,게시일,댓글내용,댓글작성자,댓글좋아요수,댓글작성일
AI 코딩 툴? 찐 대세가 나타났다!,62388,1222,2025-09-28T11:30:11Z,"💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,11,2025-09-28T12:18:04Z
,,,,"요즘 클로드코드를 사용하고 있는데, 예전에 답변 퀄리티 수준이 높을 때를 경험해보지 못한 상태로 쓰고 있는데도 괜찮은 것 같더라고요. 프로 쓸땐 5시간 세션 중에 1.5-2시간 지나면 항상 초과가 되었는데 맥스($100)짜리로 바꿨는데 제 사용범위 내에서는 한도초과 없이 사용하고 있네요.
코덱스는 안써봤는데 커서와 제미나이cli 클로드코드 3개 중에 고르라면 클코가 제일 나았어요",@yjleeeeeeee,24,2025-09-28T12:23:59Z
,,,,"걍 다씁니다  뭐 하나 좋다 싶으면 비용 아끼려고 너프하고, 뭐 하나 뒤쳐지면 곧 패치되어 쫓어옵니다. 
골치아프다 싶으면 터미널에 여럿 띄워서 수정 방안 및 계획 짜서 각각의 이름으로 md 파일로 작성하라고 해요  그리고 각자가 모든 md 파일을 읽고 취합해보라고 한 다음 정리해서 진행하는 식으로도 씁니다  아마 이것도 곧 자동화되면서 무의미해지겠지만요",@kimyanoo1176,33,2025-09-28T14:42:51Z
,,,,"CLI는 정말 숙련된 사람한테 좋은거같음 써보다 답답함을 느낌 체크포인트, MCP, 에러파일 시각적으로 보는게 훨씬 편해서 커서 유료 요금제로 쓰는게 속편함",@오늘의과자,8,2025-09-28T15:53:07Z
,,,,claude가 꼼수부리는것때문인지 진짜 품질이 너무 들쭉날쭉함. 멍청함을 조금이라도 느끼고 나면 그 날은 다른 모델을 쓰는게 정신건강에 이득인 느낌. 앰프나 코덱스 좀 다시 쳐다봐야겠군요,@dirty_kleaner,59,2025-09-28T12:03:48Z
,,,,"1. 툴 가리지 않고 전부 사용 + 업무목적에 따라서 동일한 레파지토리를 여러개 클론받아서 한쪽에선 피쳐개발, 한쪽에선 리팩토링이나 레거시 개선작업을 동시에 돌리는게 현재까진 제일 좋은듯 함. 히스토리 파악이나 main브랜치 follow-up 용까지 3벌정도 운영하면 괜찮은듯.
2. 최근 성능경쟁이 심해지다보니 각 에이전트들이 좋은 결과물 제공을 위해 연산시간을 엄청 늘리는 방식을 취하고 있음. 따라서 단순한 작업의 경우는 손으로 짜거나, 대충 컨텍스트 지정해주고 CLI 없이 AI랑 대화하면서 소스 주고받고 푸는 과거방식이 더 빠르고 확실한 결과를 제공할 때도 있음. (단순히 한 소스코드와 그에 연관된 소스 5개 파일 정도를 확인하면 되는데, 이걸 키워드 하나만 비슷한 파일까지 전부 스캔하면서 10분동안 파일만 읽는걸 보면서 느낌)
3. 에이전트의 작업 내역을 마크다운으로 자체적으로 작성하고 큰 체크포인트 지날때마다 문서를 최신화해달라고 하면 자연스럽게 해당 스펙이나 변화에 대한 컨텍스트 저장용 문서 + 이 문서를 바탕으로 PR을 직접 작성하거나 PR작성까지 AI에게 맡기기도 가능함. 나는 PR같이 사람들이 보기 위한 문서는 되도록이면 직접 작성하기 때문에 PR 작성 자체를 AI에게 맡기지는 않고, 대신에 PR 작성시에 이렇게 AI가 작업한 컨텍스트 저장용 문서를 적극 활용하고 링크도 달아두는 편임.
4. github copilot이나 cursor tab 처럼 자동완성 형태의 AI 또한 손코딩과 병행을 해야하는 시점에선 큰 도움이 됨. 특히 JVM계열은 아직까진 intellij가 강제되는데, github copilot 같이쓰는게 충분히 도움된다고 생각함.
5. 결국 모든 프로그래머가 일종의 개발외주 PM과 같은 역량이 필요해질 것이라 생각함. 내가 잘 짜는 만큼 명확한 오더를 주는것 + 업무범위를 산정하고 어떤 방식의 AI로 작업을 요청할지 고민하는 것. 이 2가지를 그때그때 잘 판단할 수 있어야 하고, 지금은 너무나도 과도기적인 시간이라 이부분에 있어서 특별한 답은 없고 그냥 그때그때 세상과 기술의 변화에 적응해나가는게 답인것 같음.",@Dicebattle,9,2025-10-07T12:21:15Z
,,,,"AI 툴을 안 쓰는 거 만큼 바보가 없었는데 
이제는 AI 툴 한 개만 쓰는거 만큼 바보가 없다.

그냥 다 구독하고 쓰셈 돈 안 아까움 정말 열심히, 많이, 열정적으로, 잘 일하려는 사람이라면.",@침룩얍칸,4,2025-10-05T04:17:30Z
,,,,엔트로픽이 성능 낮추기도 하지만 내가 느끼기에 사용자에게 다양한 파라미터의 버전을 뿌리고 좋은 파라미터 값 찾는 작업을 하는 거 같음. 비싼 돈 주고 쓰는 사용자들을 테스트로 돈 받고 쓰고 있는 거.,@namedmaster1842,14,2025-09-28T12:58:51Z
,,,,중립적인 입장에서 이야기하는 느낌이라 좋네요 개인적으로 opencode 흥했으면 좋겠음..,@park-786,2,2025-09-28T14:45:15Z
,,,,Cline도 한번 써봐주세요! 클로드 코드나 Codex가 가성비 때문에 개인 입장에서는 가장 좋다고 생각하지만 진짜 퀄리티를 생각하면 Cline도 정말 좋은 선택지라고 생각해서요.,@clomia3195,8,2025-09-28T11:50:04Z
2025년. 최고의 AI 에이전트 프레임워크는?,29872,662,2025-09-14T11:30:06Z,"💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,13,2025-09-14T12:49:15Z
,,,,한국어 자동 더빙 음성 듣다가 니꼬샘 목소리 듣고 싶어 영어(원본)으로 바꿨음. 내용 이해가 훨~씬 더 잘 됨. 이번 영상도 잘 봤습니다.  😀,@bjkang70,42,2025-09-14T12:03:10Z
,,,,개발을 너무 잘해서 신기술 나올 때마다 공부해서 적응할 수 있는 사람..넘 부럽다!!,@theold_new1631,16,2025-09-14T11:32:09Z
,,,,형 진짜 짱이다.,@hkbayarea365,3,2025-09-14T21:36:12Z
,,,,오늘도 좋은 영상 감사드려요. 좋아요. 누르고 갑니다.❤❤,@팟사이트,1,2025-09-19T16:59:30Z
,,,,캬! 낭비 1초도 없는 훌륭한 내용이다!,@돈버스타,4,2025-09-15T11:12:43Z
,,,,명확하게 정리해주어서 고마워요~ 랭그래프 리서치하고 있었는데 초보자 입장에서 많이 어려웠는데요. 다름 프레임워크 먼저 시도해봐야겠어요.,@YongjinJin,1,2025-09-17T00:10:51Z
,,,,"랭그래프가 학습곡선이 있는건 사실이지만, 그 학습 곡선이란게 니꼬가 말한 찰흙과 같아서 LLM의 동작방법, 도구 정의, 예측 가능한 답변을 만드는 방법(프롬프팅), 오케스트가 익숙하지 않는다면 지옥을 맛보게 될겁니다.

그런데 확실히 AI에 대한 이해도가 어느정도 올라오면 오래간만에 느껴본 재밌는 장난감으로 보입니다😂",@박헌남,3,2025-09-14T17:31:32Z
,,,,자동더빙되니깐 좋네욤,@주인공진화,2,2025-09-15T10:34:09Z
,,,,오늘도 감사합니다~!,@스바-t1o,1,2025-09-14T20:22:07Z
"GPT vs Claude, 누가 돈을 더 잘 불렸을까? 💸",117690,2457,2025-08-31T11:30:59Z,"💥 AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡️
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,33,2025-08-31T12:10:46Z
,,,,결과 공개하면서 같은기간 나스닥과 S&P500 의 성장률도 같이 표시해주면 시장대비 투자가 성공적이였는지 판단하기 좋을거 같아요,@바닐라삼계탕,286,2025-08-31T23:50:56Z
,,,,"이게 AI를 100%믿고 뭔짓을 하던 그냥 지켜볼 수 있는 사람은 괜찮은데 대부분의 사람들은 지켜보면서 ""아니 ㅅㅂ그걸 왜 사 비중 줄여, 그 회사 악재있는데 너 파악 못한거 아냐?"" 이런식으로 개입할 듯 AI 입장에서는 거시경제에 의한 변수에 더불어 유저 심리에 의한 변수까지 더해져서 더 하드코어 모드로 투자를 해야 하는데... 노마드님처럼 AI 개발에 목적을 둔 게 아닌 이상 자기 돈 걸어놓고 지켜보기만 할 사람은 많지 않을거같음",@wnnwwnwnnwnw,22,2025-09-09T23:08:23Z
,,,,아니 선생님 그냥 천재...;; 쉬지않고 배우시는거 그런 궁금증이 생기는 정신이 부럽습니다..ㅜ,@최현석-l1v,42,2025-09-01T16:14:35Z
,,,,"개인이 주식을 운영하다보면 머리가 아닌 가슴이 시키는 바람에 피해가 생기기 마련인데, 이런 방법은 확실히 냉정한 판단만 가능하겠네요. 다만 자신이 직감이 뛰어나다는 분이면 어렵겠지만...",@rooney-l5d,49,2025-08-31T15:18:55Z
,,,,"그동안 ai로 주식했다, 코인했다 유튜브가 정말 많았는데
역할 분배와 결론까지 나온 건 졸업 논문으로도 낼 수 있을 정도같아요
ai 크롤링이랑 정보력 한계로 섹터 etf 위주로 거래하게 하면 좋은 투자 파트너가 될 것 같네요",@azrthartjhsrtj,54,2025-08-31T15:42:30Z
,,,,개인적으로 비슷한 프로젝트 하고 있는데 재밌게 봤습니다. 각 LLM 결과만 활용해서 투자해봤는데 한계가 있더라구요. 저도 Agent LLM 프레임워크를 다방면으로 사용해서 테스트해봐야겠어요.,@TaeyongLee12,13,2025-09-01T01:05:04Z
,,,,생각보다 수익률 좋은데요? 보조도구로 충분히 끌리는데ㅋㅋ 하락장에서도 유의미한 결과를 내는지 보고싶네요,@TY-zp8oj,6,2025-09-04T00:04:37Z
,,,,내 경제를 부탁한다. GPT.,@seungchan0911,60,2025-08-31T11:36:13Z
,,,,"9개월에 17퍼센트면 손좀 봤을때 연간 최대 25-30퍼센트까지도 볼수 있겠네요..
이정도면 진짜 엄청나네요. 미래도 밝고 성능이 확실합니다",@Sdds1221-j1x,39,2025-08-31T19:07:51Z
니꼬가 한달 동안 💪🏻 만든 서비스 공개!,28641,828,2025-08-17T11:30:51Z,"7월에 만든 스타트업은 - Frontend Hero
😝 https://frontend-hero.com/
프론트엔드 개발자에게 필요한 모든 익스텐션을 꾹꾹 눌러 담았습니다 😎
.
💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡️
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,10,2025-08-17T12:18:56Z
,,,,와 개쩌네요 이 대단한 걸 1달만에 만드셨다니 진짜 존경스럽습니다 저는 같은 프로젝트만 3달 째 하고 있는데 니꼬쌤 서비스에 비빌 정도도 못 되네요ㅠㅠㅠ,@user-bJyDbmHPSerhH8FQLDq3,26,2025-08-17T13:58:36Z
,,,,배운점 에서 공감가는게 많네요 자기가 납득갈정도로 완벽하게 해놓은다음에 내놓고싶은 뭐 그런게 있는듯.. 저도 다음엔 알빠노 버그터지면 걍 그때 해야지란 마인드도 생각해봐야겠습니다 ㅋㅋ,@user-jw9er5nc2k,27,2025-08-17T14:59:10Z
,,,,와! 선댓글 후감상! 기다리고 있었다구요,@김준규-e8e,7,2025-08-17T11:37:56Z
,,,,저도 도전해보겠습니다 선생님 영감 주셔서 감사합니다!,@yonghee.,1,2025-10-23T23:55:07Z
,,,,"정말 멋져요 ! 
당신에게서 많은 영감을 얻는답니다.",@JonadanLee,7,2025-08-17T12:36:21Z
,,,,"개머시따....
저도 10년 후에 니코처럼 개쩌는 개발자 되고시퍼요",@luti6916,8,2025-08-17T12:36:18Z
,,,,왕초보지만 냉큼 구입~! 잘 쓰도록 노력해볼게요~!,@grandemalipnida,1,2025-10-16T04:37:11Z
,,,,응원합니다 12개 중에 첫번째 여정이 끝났네요ㅋㅋ,@Ddzk23js,9,2025-08-17T12:20:58Z
,,,,MAN... Looks great,@yoon8127,2,2025-08-17T14:05:58Z
시간 절약 꿀팁?⚡️깃허브에서 AI 활용하기 5분컷,20935,880,2025-08-03T11:30:18Z,"💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡️
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,1,2025-08-03T13:43:31Z
,,,,ㅎㅎ 재밌는거 많네용 ♥,@김태훈-w3t7f,2,2025-08-03T11:47:27Z
,,,,잘 되시길 바랍니당 다음 영상 기대할게용.,@bestover,2,2025-08-03T18:21:07Z
,,,,"니꼬 쌤 영상 너무 잘봤습니다
최근에 저도 새로운 스타트업에 도전하고 있는데요
제일 고민인게 디자인입니다
니꼬쌤은 앱디자인을 직접 하시는 편인가요? 아니면 AI를 쓰거나 누군가에게 맡기시나요",@기타치는개발자,4,2025-08-03T11:47:06Z
,,,,Thank you!!,@jonathanpark873,2,2025-08-03T11:37:18Z
,,,,땡큐 컨텐츠~~~~,@tccmd-w4p,0,2025-08-04T03:59:49Z
,,,,이런거 어떻게 아시나요 ㄹㅇ.. 니꼬샘 덕분에 좋은거 많이 알아가여..,@peacepiece9836,0,2025-08-07T21:16:26Z
,,,,와 딥위키 미쳤다,@akrja4,0,2025-08-03T16:51:19Z
,,,,Gitingest는 제가 자주 쓰는 repomix랑 비슷하네요ㅎㅎ,@wyz-17,0,2025-08-03T18:20:04Z
,,,,우와,@monstercold1451,1,2025-08-03T11:32:43Z
이제 대세는 Claude Code!? 찐 꿀팁 대방출 🔥,95636,2852,2025-07-20T11:30:01Z,"💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,18,2025-07-20T12:59:35Z
,,,,"이 클로드코드 맞춤형 워크플로우 팁 보면서, AICarma가 AI 추천에 맞춰 콘텐츠 최적화 도와주는 게 생각났어요. 진짜 유용!",@narsingh5384,58,2025-09-17T11:58:19Z
,,,,근데 토큰이 진짜 미친듯이 녹아내림,@hanwoori21,66,2025-07-20T15:23:44Z
,,,,09:20 핵심 꿀팁,@이대형-v2q,10,2025-07-22T23:58:41Z
,,,,"확실히 강의에 도가 트셨네요 클로드코드 영상 몇개 봤는데 그중에 가장, 진짜 유용하게 보고갑니다",@좀커진포도알,25,2025-07-20T13:08:38Z
,,,,Super Claude를 활용하는 것도 엄청나게 도움이 많이 되더라구요! 강추합니다.,@ihk_rpg,35,2025-07-20T11:52:08Z
,,,,ai 툴을 몇달간 써보면서 느낀거라면 쓰지 않았을 때보다 코드를 더 많이 읽게됐습니다 ㅋㅋㅋ   무튼 재밋습니댜,@handle-WL,29,2025-07-20T14:30:32Z
,,,,"been struggling with setting it up, this helps a ton",@shivendrayadav341,0,2025-09-17T11:58:19Z
,,,,claud code vs gemini-cli 궁금합니다! gemini-cli 도 영상 만들어 주세요,@leejg129,17,2025-07-20T16:27:41Z
,,,,클로드 코드를 이 채널에서 보게 되다니 너무 좋네요! 잘봤습니다!,@devstefancho,2,2025-07-20T12:27:55Z
로그인 인증 구현? ⚡️ 5분이면 쌉가능!,23506,730,2025-07-06T11:30:58Z,"✅  복잡한 유저 인증? Clerk 하나면 5분 만에 *무료로* 해결!
👉🏻 https://go.clerk.com/KGKY4vk 💥",@nomadcoders,5,2025-07-06T12:29:18Z
,,,,편하긴 하지만.. 결국 의존성이라... 만드는거 한 번 만들어놓으면 사실 고생하진 않긴해서..,@BP-Paul,34,2025-07-06T15:05:10Z
,,,,"니꼬, 인트로에서 더 건강해져 보이는 모습보니 마인드나 라이프스타일 개선 유지 비법도 한번 다루면 재밌을듯 합니다.",@quiestce,11,2025-07-06T17:21:10Z
,,,,진짜 유용했어요 감사합니다!,@스바-t1o,8,2025-07-06T12:01:25Z
,,,,멋진 영상,@H.S.Yun05,2,2025-07-14T12:13:36Z
,,,,"저기 Clerk 개발자들 얼마나 고생해서 만든 서비스일까 생각하면서 보게 됨.
그 과정에서 BM을 얼마나 고심했을까도 느껴지는 소개 영상🤣",@junjedi2821,1,2025-07-08T10:55:12Z
,,,,와 진짜 타이밍ㅋㅋ딱 필요하던 영상이에요. 감사합니다!,@haemin6505,0,2025-07-08T02:51:08Z
,,,,인터페이스 제공은 정말 너무 좋네요. 로그인 유지 기능 등 커스텀도 가능한지 공부해보고 써봐야겠어요. 소개 감사합니다!,@머루-x4n,5,2025-07-06T14:03:08Z
,,,,안그래도 사이드 프로젝트 하면서 급하게 대시보드 만들어서 전달해야 하는데 겨우 한두명 쓰자고 oauth인증 처음부터 만들려니 너무 비효율적이고 공식 심사도 요청해야하고 다른 걸로도 바쁜데 시간낭비하기가 아깝더라고요 이용해봐야겠네요 고마워요 니콜라스!!,@redcomet150,2,2025-07-06T22:16:48Z
,,,,감사합니다 ❤️,@GreedHo-h1c,2,2025-07-06T12:28:15Z
한달에 한개씩 스타트업 만드는 법?,47622,2182,2025-06-22T11:30:10Z,"💥 2025 신규강의! Maker 마스터클래스
1인 개발자, 지금 당장 만들어 드립니다 
Cursor AI + Remix + Supabase 의 엄청난 조합⚡
슈퍼 1인 개발자 되기 👉🏻 https://bit.ly/4hyz8mx",@nomadcoders,18,2025-06-22T13:37:09Z
,,,,스타트업 풍차돌리기 응원합니다🎉,@조세영-u6j,54,2025-06-22T11:30:49Z
,,,,0:11 아기 너무~~~~~~~~~~~~~~~~~~~~귀여워~~~~~~~~~~~~~~~~~~~~~~,@injookim6552,25,2025-06-22T11:35:13Z
,,,,"기술 강의해주는 사람은 널리고 널렸습니다.
기획을 알려주는 곳은 찾기가 힘들죠.
이번 기획.
상당히 기대됩니다.",@TubeinKorea,8,2025-06-22T23:31:46Z
,,,,"개발 과정 뿐만 아니라 유저플로우, 와이어프레임, ERD, 스토리보드 등의 기획부터 figma를 활용한 디자인 또는 디자이너와 협업, 그 후의 풀 스택 개발 과정과 배포. 그리고 마케팅까지 진정으로 1인 개발의 모든 과정이 담긴 강의나 영상을 보고 싶어요",@탄비-h5s,2,2025-07-11T00:46:21Z
,,,,오~~ 저에게 정말 필요한 영상이예요. 요즘 빠르게 2주동안 간단한앱 6개 만들어서 출시하는중인데 많은 참고가 될 것 같아요~,@lukedwise7824,12,2025-06-22T11:46:51Z
,,,,"“실패하면 그걸 보고 배울 수 있잖아”
용기있고 멋지게 들려요",@jonny-lab,9,2025-06-22T11:36:25Z
,,,,"좋은 영상과 좋은 강의, 좋은 영향력 항상 감사합니다",@고오야이,1,2025-08-13T04:09:24Z
,,,,실패할까봐 시도를 못한다 라는 표현이 정말 와닿네요.  이 영상을 보고 레포지토리 바로 팠습니다,@dukgukim-n9m,27,2025-06-22T11:46:39Z
,,,,7:02 Tech part. 하나의 제품이 어떤 식으로 만들어지는지 그 과정도 무척 궁금합니다,@cafe-con-leche,11,2025-06-22T12:45:53Z
개발자라면 무조건 봐야 할 *무료* 툴 🍯 몽땅 알려드림,37609,2201,2025-06-08T11:30:44Z,"✅  복잡한 유저 인증? Clerk 하나면 5분 만에 *무료로* 해결!
👉🏻 https://go.clerk.com/xjzaTRR 💥",@nomadcoders,6,2025-06-08T12:05:48Z
,,,,사이드 프로젝트에 정말 필요한 정보였는데 감사해요!,@300apm5,21,2025-06-08T11:39:12Z
,,,,진짜 미쳤다… 실제로 쓰고는 있지만 제대로 세팅하지 않아서 돈이 뭉태기로 나가는 서비스들도 있어서 이 영상을 보고나서는 다시 한번 손 봐야겠다는 마음이 드내요,@andreseungyeobsong4899,9,2025-06-08T13:10:20Z
,,,,오오 싸랑해요우~~~,@이재현-x7e4q,11,2025-06-08T11:32:18Z
,,,,감사합니다 풀스택 개발자 사이드 프로젝트로 충분하겠네요 ㅋㅋㅋ,@똥겜마스터루마,5,2025-06-10T01:54:37Z
,,,,이건 진짜 유용할것 같네요 ,@exp6477,9,2025-06-08T11:59:19Z
,,,,정리력 미쳤네요… 덕분에 한 번에 이해됐습니다. 감사합니다!,@Teshotchu,0,2025-06-19T05:05:54Z
,,,,"간만에 영상 보는데 형님 살빠지셨네요
식사 잘드십시오",@sjsjsj1182,7,2025-06-08T12:16:01Z
,,,,"리액트 UI 라이브러리로 Ant design, MUI 써봤는데 저런 것도 있었군요?
한 번 써봐야 겠습니다!",@Jay_M_,1,2025-06-08T14:09:59Z
,,,,항상좋은 정보 감사해요,@COSEO-hr9es,3,2025-06-08T11:48:27Z
갓생 만들어줄 MCP 서버 💪🏻 BEST 8종 모음,54177,1585,2025-05-25T11:30:42Z,"👇 꼭 써봐야 할 유용한 툴 👇

✅ 할인코드 FLYT30 입력 시 FloppyData 의 프록시 서비스 30% 할인! :
https://bit.ly/floppydata_nomad-coders

✅ 할인코드 YTGL20 입력 시 GoLogin 의 멀티 어카운팅 브라우저 20% 할인! : 
https://bit.ly/gologin_nomad-coders

클릭해서 한번 살펴봐-! ❤️",@nomadcoders,2,2025-05-25T12:20:42Z
,,,,"Great content! 💪I thought you’d switched to Windsurf, but I noticed you came back to Cursor. Do you use them interchangeably?",@IAmMaxShapira,2,2025-05-26T09:49:25Z
,,,,피그마 mcp가 있어서 실무에서 쓰기도 좋은거같아요,@hjyoon-1540,8,2025-05-25T11:46:09Z
,,,,감사합니당ㅎ ㅎ,@하경-s5x,0,2025-06-30T12:17:48Z
,,,,"브라우저 개발자도구의 여러 탭들을 탐색해서 콘솔로그, 네트워크 탭의 api 호출상태 이런것도 확인할 수 있을까요?",@olorososherry2242,2,2025-05-25T13:08:03Z
,,,,감사합니다 🫰,@GreedHo-h1c,0,2025-06-23T01:01:49Z
,,,,구글 클라우드 데이터스토어를 툴로 쓸 수 있는 MCP 서버도 있나요?,@오늘점심은파스타,1,2025-05-25T12:52:11Z
,,,,"너무 너무 좋은 영상 정말 감사합니다 ㅠㅠ. 그런데 vscode에서 github copilot으로 이 기능 사용할 때에 tool을 128개 이상 들고 있지는 못하는데, 이를 현명하게 처리할 수 있는 방법이 있을까요?",@김승완-z4c,0,2025-06-07T05:36:24Z
,,,,taskmaster mcp 나 shirimp task manager mcp를 사용해서 프로젝트를 진행해보신 적이 있나요? 만약 진행해보셨다면 활용점의 포인트에 대한 인사이트가 있을까요?,@AIMarvis,6,2025-05-25T13:48:24Z
,,,,"맥북에서 클로드 desktop 앱으로 mcp 서버를 사용하고 있는데 어느순간부터 무슨 mcp를 사용하려고 해도 자꾸 서버 오류가 뜨길래 로그를 보니까 fetch is not defined라고 계속 오류가 발생한다는데...node js 버전도 업글해보고 다해봤는데도 안되면 어떻게 해결하나요.,,..?",@civiljungpp,2,2025-05-25T18:04:36Z
